id,as_of,type,publisher,title,url,role
S01,2026-07-30,official brief,Bridgewater and Global Citizen,Forecasting the Future 2026,https://observatory.bwater.com/events/2026-forecasting-the-future,requirements and judging
S02,2026-07-30,terms,Bridgewater and Global Citizen,Challenge 2026 Terms and Conditions,https://www.bridgewater.com/bridgewater-global-citizen-forecasting-the-future-a-modern-economics-challenge-2026-terms-conditions,eligibility and authorship
S03,2024-11-25,framework,Bridgewater Associates,We're All Mercantilists Now,https://www.bridgewater.com/research-and-insights/were-all-mercantilists-now,definition and causal baseline
S04,2026-01-07,framework,Bridgewater Associates,The Macro Implications of the AI Capex Boom,https://www.bridgewater.com/research-and-insights/the-macro-implications-of-the-ai-capex-boom,AI capex macro channels
S05,2026-04-27,framework,Bridgewater Associates,The Accelerating Resource Grabs in AI and Modern Mercantilism,https://www.bridgewater.com/the-accelerating-resource-grabs-in-ai-and-modern-mercantilism-content-ctd,resource-grab baseline
S06,2026-06-16,interview,Unholy podcast,Nir Bar Dea on the New World Order AI and Israel's Risks,https://poddtoppen.se/podcast/1548441108/unholy-two-jews-on-the-news/nir-bar-dea-on-the-new-world-order-ai-and-israels-risks,trade-capital mirror and diversification
S07,2025-11-10,method,Bridgewater AIA Labs,AIA Forecaster Technical Report,https://arxiv.org/abs/2511.07678,search ensemble reconciliation and calibration
S08,2026-05-08,research,METR,Task-Completion Time Horizons of Frontier AI Models,https://metr.org/time-horizons/,AI capability resolution
S09,2026-04-13,research,Stanford HAI,2026 AI Index Report,https://hai.stanford.edu/ai-index/2026-ai-index-report,investment adoption and policy
S10,2026-06-10,research,Stanford Digital Economy Lab,AI Economic Indicators June 2026,https://digitaleconomy.stanford.edu/app/uploads/2026/06/AIEI_RN01_Jun26.pdf,labor-market leading indicators
S11,2026-03-05,research,Anthropic,Labor market impacts of AI: a new measure and early evidence,https://www.anthropic.com/research/labor-market-impacts,observed exposure and hiring
S12,2026-07-10,research,International Monetary Fund,Aggregate Gains from AI and Their Distribution,https://www.imf.org/en/publications/wp/issues/2026/07/10/aggregate-gains-from-ai-and-their-distribution-global-evidence-from-usage-data-577586,global diffusion and concentration
S13,2026-06-04,data,U.S. Bureau of Labor Statistics,Productivity and Costs,https://www.bls.gov/productivity/,productivity resolution
S14,2026-05-19,data,U.S. Energy Information Administration,Annual Energy Outlook 2026 data center server use,https://www.eia.gov/todayinenergy/detail.php?id=67704,energy forecast and resolution
S15,2026-06-01,research,International Energy Agency,Key Questions on Energy and AI,https://www.iea.org/reports/key-questions-on-energy-and-ai/executive-summary,global data-center energy scenarios
