id,cluster,horizon,probability,forecast_sentence,threshold,primary_source,correlation_group,author_status
F01,capability,2029,75,"There is a 75% chance that, by December 31, 2029, METR will report a 50% task-completion time horizon of at least 168 human-expert hours for a publicly available general-purpose AI agent.",">=168 hours at 50%","METR Time Horizons",AI_scale,"provisional - author review required"
F02,diffusion,2028,64,"There is a 64% chance that at least 35% of U.S. employer firms will report using AI in any business function in the final 2028 Business Trends and Outlook Survey estimate.",">=35%, firm weighted","U.S. Census BTOS",AI_scale,"provisional - author review required"
F03,productivity,2030,46,"There is a 46% chance that U.S. nonfarm-business labor productivity will grow by more than 2.25% annualized from 2026Q4 through 2030Q4.",">2.25% annualized, Q4/Q4","U.S. BLS Productivity and Costs",AI_macro,"provisional - author review required"
F04,capital,2028,58,"There is a 58% chance that Alphabet, Amazon, Meta, and Microsoft will report more than $1 trillion of aggregate capital expenditure in calendar 2028.",">$1 trillion nominal aggregate","Company filings",AI_scale,"provisional - author review required"
F05,energy,2030,52,"There is a 52% chance that data centers will consume more than 12% of total U.S. electricity in calendar 2030.",">12% of U.S. electricity","DOE/LBNL national data-center energy study",AI_scale,"provisional - author review required"
F06,chips,2030,78,"There is a 78% chance that at least three independent foundry operators will be conducting commercial high-volume production on company-designated 2-nanometer-or-smaller process nodes in the United States by December 31, 2030.",">=3 operators at <=2nm marketed node","Company filings plus U.S. Commerce/GAO",industrial_policy,"provisional - author review required"
F07,sovereign_compute,2029,39,"There is a 39% chance that at least four facilities selected under the EU AI Gigafactories initiative will be operational and accepting compute workloads from external users by December 31, 2029.",">=4 externally accessible facilities","European Commission and EuroHPC",industrial_policy,"provisional - author review required"
F08,minerals,2030,83,"There is an 83% chance that the average top-country refining share across copper, lithium, nickel, cobalt, graphite, and manganese will remain above 65% in 2030.",">65% simple average","IEA Global Critical Minerals Outlook",industrial_policy,"provisional - author review required"
F09,china_trade,2029,68,"There is a 68% chance that China's annual goods trade surplus will exceed $1 trillion in at least two of the three calendar years from 2027 through 2029.",">2 years above $1 trillion","China GACC",trade_regime,"provisional - author review required"
F10,trade_fragmentation,2029,57,"There is a 57% chance that no more than 65% of global merchandise trade will be conducted on WTO most-favored-nation terms at year-end 2029.",">=35% outside MFN terms","World Trade Organization",trade_regime,"provisional - author review required"
F11,multilateralism,2029,82,"There is an 82% chance that the WTO Appellate Body will still lack the minimum three sitting members needed to hear an appeal on December 31, 2029.",">=1 vacancy below quorum","World Trade Organization",trade_regime,"provisional - author review required"
F12,tariffs,2029,72,"There is a 72% chance that the annual U.S. effective tariff rate, measured as duties collected divided by customs value, will average at least 8% across calendar years 2027 through 2029.",">=8% arithmetic mean of annual rates","USITC DataWeb",trade_regime,"provisional - author review required"
